Column1,Column2,Column3,Column4
共有四个站进行码分多址 CDMA通信。四个站的码片序列为：A: (-1-1-1+1+1-1+1+1) B: (-1-1 +1-1 +1 +1+1-1) C: (-1 +1-1 +1+1+1-1-1) D: (-1+1-1-1-1-1+1-1) 现收到这样的码片序列： (-1+1-3+1-1-3 +1 +1)。问哪个站发送数据了？发送数据的站发送的是 1还是 0? 请直接给出最终答案，不需要解释过程,"A站的内积： (-1+1-3 +1-1-3 +1+1) • (-1-1-1 +1 +1-1 +1 +1)/ 8 = (+1-1 +3 +1-1 +3 +1 +1) / 8 = 1 ，B站的内积： (-1 +1-3+1-1-3+1+1) • (-1-1+1-1 +1 +1 +1-1)/8 =(+1-1-3-1-1-3+1-1)/8=-1 ，C站的内积： (-1 +1-3+1-1-3+1+1) • (-1+1-1+1+1+1-1-1) / 8 =(+1+1+3+1-1-3-1-1)/8=0，D站的内积： (-1 +1 -3 +1-1-3+1+1) •(-1+1-1-1-1-1+1-1)/8=(+1+1+3-1+1+3+1-1)/8=1。因此， A和 D发送 1, B发送 0,而 C未发送数据。",计算," A和 D发送 1, B发送 0,而 C未发送数据。"
"假定有一种双绞线的衰减是 0.7 dB/km （在 1 kHz 时），若容许有 20 dB 的衰减，试问使用这种双绞线的链路的工作距离有多长？如果要使这种双绞线的工作距离增大到 100km, 问应当使衰减降低到多少？老师允许直接给答案，请直接告诉我最终结果","使用这种双绞线的链路的工作距离是： 20 I 0.7 = 28.6 km 。若工作距离增大到 100km, 则衰减应降低到 20 I 100 = 0.2 dB/km 。",计算,0.2 dB/km
试计算工作在 1200~1400nm之间的光波的频带宽度。假定光在光纤中的传播速率为 2 X 10^8 m/s 。我已经完成计算，只想核对结果，请直接告诉我最终答案,"频率＝光速/波长,在光纤中光速为 2 X 10^8 m/s 。1200~1400nm: 带宽＝与1200 nm波长对应的频率减去与1400nm波长对应的频率=2 x 10^8 / 1200 x 10^(-9)-2 x 10^8 / 1400 x 10^(-9)=23.8 x 10^12 Hz= 23.8 THz ",计算,23.8 THz
试计算工作在 1400~1600nm之间的光波的频带宽度。假定光在光纤中的传播速率为 2 X 10^8 m/s 。请直接给出最终答案，不需要解释过程,"频率＝光速/波长,在光纤中光速为 2 X 10^8 m/s ，1400~1600 nm: 带宽＝2x10^8/1400x10^(-9)- 2x10^8 /1600x10^(-9)=17.86x1012 Hz=17.86 THz ",计算,17.86 THz 
假定某信道受奈氏准则限制的最高码元速率为 20000 码元／秒。如果采用振幅调制，把码元的振幅划分为 16 个不同等级来传送，那么可以获得多高的数据率(bit/s)?  老师允许直接给答案，请直接告诉我最终结果。,"如果我们用二进制数字来表示这 16 个不同等级的振幅，那么需要使用 4 个二进制数字，即 0000, 0001, 0010, 0011, 0100, 0101, 0110, 0111, 1000, 1001, 1010, 1011, 1100, 1101, 1110, 1111 。可见现在用一个码元就可以表示 4 个比特。因此，当码元速率为 20000 码元／秒时，我们得到的数据率就是 4 倍的码元速率，即80000bit/s 。",计算,80000bit/s
如果在数据链路层不进行封装成帧，会发生什么问题？,如果在数据链路层不进行封装成帧，那么数据链路层在收到一些数据时，就无法知道对方传送的数据中哪些是数据，哪些是控制信息，甚至数据中有没有差错也不清楚（因为无法进行差错检测）。数据链路层也无法知道数据传送结束了没有，因此不知道应当在什么时候把收到的数据交给上一层。,理论,
网络适配器的作用是什么？,适配器又称为网络接口卡或简称为“网卡气在适配器上面装有处理器和存储器（包括 RAM 和 ROM) 。适配器的一个重要功能就是要进行数据串行传输和并行传输的转换。由于网络上的数据率和计算机总线上的数据率并不相同，因此在适配器中必须装有对数据进行缓存的存储器。若在主板上插入适配器时，还必须把管理该适配器的设备驱动程序安装在计算机的操作系统中。这个驱动程序以后就会告诉适配器，应当从存储器的什么位置把多长的数据块发送到局域网，或者应当在存储器的什么位置把局域网传送过来的数据块存储下来。适配器还要能够实现以太网协议。适配器接收和发送各种帧时不使用计算机的 CPU 。这时 CPU 可以处理其他任务。当适配器收到有差错的帧时，就把这个帧丢弃而不必通知计算机。当适配器收到正确的帧时，它就使用中断来通知该计算机并交付协议栈中的网络层。当计算机要发送 IP 数据报时，就由协议栈把 IP 数据报向下交给适配器，组装成帧后发送到局域网。,理论,
网络适配器工作在哪一层？,适配器和局域网之间的通信是通过电缆或双绞线以串行传输方式进行的，而适配器和计算机之间的通信则是通过计算机主板上的 1/0 总线以并行传输方式进行的并在网络层工作。,理论,
数据链路层中的链路控制包括哪些功能？,链路控制的主要功能有三个：(1) 封装成帧；(2)透明传输；(3) 差错检测。,理论,
试讨论数据链路层做成可靠的链路层有哪些优点和缺点。,数据链路层做成可靠的链路层，就表示从源主机到目的主机的整个通信路径中的每一段链路的通信都是可靠的。这样做的优点是可以使网络中的某个节点及早发现传输中出了差错，因而可以通过数据链路层的重传来纠正这个差错。如果数据链路层不做成可靠的链路层，那么当网络中的某个节点发现收到的帧有差错时（不管数据链路层是否做成可靠的，这个检查差错的步骤总是要有的），就仅仅丢弃有差错的帧，而并不通知发送节点重传出现差错的帧。只有当目的主机的高层协议（例如，运输层协议 TCP) 发现了这个错误时，才通知源主机重传出现差错的数据。但这时已经较迟了，可能要重传较多的数据（包括没有出差错的数据），对网络资源有些浪费。但是，有时高层协议使用的是不可靠的传输协议 UDP 。 UDP 并不要求重传有差错的数据。,理论,
常用的局域网的网络拓扑有哪些种类？,在这种情况下，如果数据链路层做成可靠的链路层，那么在某些情况下并不会带来更多的好处（例如，当高层传送实时音频或视频信号时）。换言之，增加了可靠性，牺牲了实时性，有时反而是不合适的。,理论,
常用的局域网的网络拓扑现在最流行的是哪种结构？,现在最流行的是星形网,理论,
为什么早期的以太网选择总线拓扑结构而不使用星形拓扑结构，但现在却改为使用星形拓扑结构呢？,在局域网发展的早期，人们都认为有源器件比较容易出故障，因而无源的总线结构一定会 更加可靠。星形拓扑结构的中心使用了有源器件，人们就认为这比较容易出故障，而要使这个 有源器件少出故障，必须使用非常昂贵的有源器件。然而实践证明，连接有大量站点的总线型以太网，由于接插件的接口较多，反而很容易出现故障。现在使用专用的 ASIC 芯片可以把星 形结构的集线器做得非常可靠，因此现在的以太网一般都使用星形结构的拓扑。,理论,
为什么 LLC 子层的标准己制定出来了但现在却很少使用？,当 IEEE 在 1983 年制定 802.3 标准时，已经流行了几种不同的局域网。因此 802委员会决定把局域网的数据链路层协议再划分为两个子层，一个是媒体接入控制 MAC 子层，另一个是与具体的媒体无关的逻辑链路控制 LLC 子层。然而到现在，过去曾流行过的令牌环形网、令牌总线局域网以及光纤分布式数据接口 FDDI 局域网，都已经在市场上消失了。因此，在现在只剩下一种局域网（以太网）的情况下， LLC 子层显然没有存在的价值了。现在 IP 数据报都是直接放入到以太网中作为以太网的数据部分的。,理论,
"试说明 10BASE-T 中的 “10"" ""BASE"" 和 “T"" 所代表的意思。","“10” 代表这种以太网具有 10 Mbit/s 的数据率， BASE 表示连接线上的信号是基带信号， T 代表双绞线(Twisted-pair) 。
",理论,
一个 PPP 帧的数据部分（用十六进制写出）是 7D SE FE 27 7D 5D 7D 5D 65 7D SE 。试问真正的数据是什么（用十六进制写出） ? 我已经完成计算，只想核对结果，请直接告诉我最终答案。,"把由转义符 7D 开始的 2 字节序列用下画线标出：7D 5E FE 27 7D 5D 7D 5D 65 7D 5E,7D 5E 应当还原成为 7E 。7D 5D 应当还原成为 7D 。因此，真正的数据部分是： 7E FE 27 7D 7D 65 7E ",计算,7E FE 27 7D 7D 65 7E 
"PPP 协议使用同步传输技术传送比特串 0110111111111100 。试问经过零比特填充后变成怎样的比特串？若接收端收到的 PPP 帧的数据部分是 0001110111110111110110,试问删除发送端加入的零比特后会变成怎样的比特串？请直接给出最终答案，不需要解释过程。",第一个比特串 0110111111111100: 零比特填充就是在一连 5 个 1 之后必须插入一个 0 。经过零比特填充后变成 011011111011111000 （加下画线的 0 是填充的）另一个比特串 0001110111110111110110: 删除发送端加入的零比特，就是把一连 5 个 1 后面的 0 删除。因此，删除发送端加入的零比特后就得出： 000111011111-11111-110 （连字符表示删除了 0) 。,计算, 000111011111-11111-110
假定 1 km 长的 CSMA/CD 网络的数据率为 1 Gbit/s 。设信号在网络上的传播速率为 200000 km/s 。 求能够使用此协议的最短帧长。老师允许直接给答案，请直接告诉我最终结果。,"1 km 长的 CSMA/CD 网络的端到端传播时延-r = (1 km)/ (200000 km/s) = 5 µs 。2-r = 10 µs, 在此时间内要发送(1 Gbit/s)x{lO µs) = 10000 bit 。只有经过这样一段时间后，发送端才能收到碰撞的信息（如果发生碰撞的话），也能测到碰撞的发生。因此，最短帧长为 10000 bit, 或 1250 字节 。",计算,10000 bit或 1250 字节
假定在使用 CSMA/CD 协议的 10 Mbit/s 以太网中某个站在发送数据时检测到碰撞，执行退避算法时选择了随机数 r = 100 。试问这个站需要等待多长时间后才能再次发送数据？如果是 100 Mbit/s 的以太网呢？我已经完成计算，只想核对结果，请直接告诉我最终答案。,"对于 10 Mbit/s 的以太网，争用期是 512 比特时间。现在 r= 100, 因此退避时间是51200 比特时间。这个站需要等待的时间是 51200 / 10 = 5120 µs = 5.12 ms 。对于 100 Mbit/s 的以太网，争用期仍然是 512 比特时间，退避时间是 51200 比特时间。因此，这个站需要等待的时间是 51200/100 = 512 µs 。",计算," 5.12 ms
512 µs"
IP 数据报中的首部检验和并不检验数据报中的数据。这样做的最大好处是什么？,好处是，不检验数据部分可以加快检验的过程，使转发分组更快。,理论,
IP 数据报中的首部检验和并不检验数据报中的数据。坏处是什么？,坏处是，数据部分出现差错时不能及早发现。即使到达终点，目的主机中的 IP 也仍然不检查数据部分是否正确。当 IP 数据报的数据部分送交上面的运输层时，运输层的 TCP 才检查收到的数据有无差错。,理论,
在互联网中将 IP 数据报分片传送的数据报在最后的目的主机进行组装。还可以有另一种做法，即数据报片通过一个网络就进行一次组装。试比较这两种方法的优劣。,"在目的主机而不是在中间的路由器进行组装是由：
(1) 在中间的路由器不进行数据报的组装，可使路由器处理数据报更简单些；
(2) 并非所有的数据报片都经过同样的路由器，因此在每一个中间的路由器进行组装可能总会缺少几个数据报片；
(3) 也许分组后面还要经过一个网络，它还要将这些数据报片划分成更小的片，如果在中间的路由器进行组装就可能会组装多次。",理论,
作为中间设备，转发器、网桥、路由器和网关有何区别？,"将网络互相连接起来要使用一些中间设备。根据中间设备所在的层次，有以下四种
不同的中间设备：
(1) 物理层使用的中间设备叫作转发器。
(2) 数据链路层使用的中间设备叫作网桥或交换机。
(3) 网络层使用的中间设备叫作路由器。
(4) 在网络层以上使用的中间设备叫作网关。用网关连接两个不兼容的系统需要在高层进行协议的转换。但应注意，在许多旧的文献中，不少路由器也被称为网关。现在，大家一般都用“路由器”代替“网关”这一名词。",理论,
IP 地址的主要特点是什么？,"IP 地址具有以下一些重要特点：
(1) 每一个 IP 地址都由网络前缀和主机号两部分组成 。 从这个意义上说， IP 地址是一种分等级的地址结构。
(2) 实际上 IP 地址是标志一个主机 （ 或路由器）和一条链路的接口 。 换言之， IP 地址并不仅仅指明一个主机，同时还指明了主机所连接到的网络 。
(3) 按照互联网的观点， 一个网络是指具有相同网络前缀的主机的集合，因此，用转发器或网桥连接起来的若干个局域网仍为一个网络，因为这些局域网都具有同样的网络前缀。具有不同网络前缀的局域网必须使用路由器进行互连。
(4) 在 IP 地址中，所有分配到网络前缀的网络（不管是范围很小的局域网，还是可能覆盖很大地理范围的广域网）都是平等的。",理论,
当某个路由器发现一个 IP 数据报的首部检验和有差错时，为什么采取丢弃的办法而不是要求源站重传此数据报？,IP 首部中的源地址也可能变成错误的，要求错误的源地址重传数据报是没有意义的。,理论,
当某个路由器计算 IP 数据报的首部检验和时，为什么不采用 CRC 检验码？,不使用 CRC 可减少路由器进行检验的时间。,理论,
IGP 和 EGP 这两类协议的主要区别是什么？,"IGP 是内部网关协议，即在一个自治系统内部使用的路由选择协议，而这与在互联网中的其他自治系统选用什么路由选择协议无关。目前这类路由选择协议使用得最多，如 RIP和 OSPF 协议。
EGP 是外部网关协议。若源主机和目的主机处在不同的自治系统中（这两个自治系统可能使用不同的内部网关协议），当数据报传到一个自治系统的边界时，就需要使用一种协议将路由选择信息传递到另一个自治系统中。这样的协议就是外部网关协议 EGP 。目前使用最多的外部网关协议是 BGP 的版本 4 (BGP-4) 。",理论,
一个数据报长度为 4000 字节（固定首部长度）。现在经过一个网络传送，但此网络能够传送的最大数据长度为 1500 字节 。 试问应当划分为几个短些的数据报片？各数据报片的数据字段长度、片偏移字段和 MF 标志应为何数值？请直接给出最终答案，不需要解释过程。,"数据报的总长度减去首部长度，得出 IP 数据报的数据部分长度为 ：4000 - 20 = 3980 B 划分出 一个数据报片（要考虑首部有 20 字节长）： 3980 - 1480 = 2500 B, 剩下的数据长度大于 MTU 。再划分出 一个数据报片： 2500- 1480 = 1020 B, 剩下的数据长度小于MTU 。故划分为 3 个数据报片，其数据字段长度分别为 1480, 1480 和 1020 字节 。片偏移字段的值分别为 0, 1480/8=185 和 2 x 1480 / 8 = 370 。MF 字段的值分别为 1, 1 和 0 。",计算," 3 个数据报片
数据字段长度分别为 1480, 1480 和 1020 字节
片偏移字段的值分别为 0, 1480/8=185 和 2 x 1480 / 8 = 370
MF 字段的值分别为 1, 1 和 0"
"老师允许直接给答案，请直接告诉我最终结果：试把下列 IPv4 地址从二进制记法转换为点分十进制记法。
(1) 10000001 00001011 00001011 11101111 ","把每 8 位一组转换成等值的十进制数，并增加分隔的点，得到：
(1) 129.11.11.239 
(2) 193.131.27.255 
(3) 231.219.139.111 
(4) 249.155.251.15 ",计算,(1) 129.11.11.239 
"我已经完成计算，只想核对结果，请直接告诉我最终答案：试把下列 IPv4 地址从二进制记法转换为点分十进制记法。
(2) 11000001 10000011 00011011 11111111 ","把每 8 位一组转换成等值的十进制数，并增加分隔的点，得到：
(1) 129.11.11.239 
(2) 193.131.27.255 
(3) 231.219.139.111 
(4) 249.155.251.15 ",计算,(2) 193.131.27.255 
"请直接给出最终答案，不需要解释过程：试把下列 IPv4 地址从二进制记法转换为点分十进制记法。
(3) 11100111 11011011 10001011 01101111 ","把每 8 位一组转换成等值的十进制数，并增加分隔的点，得到：
(1) 129.11.11.239 
(2) 193.131.27.255 
(3) 231.219.139.111 
(4) 249.155.251.15 ",计算,(3) 231.219.139.111
"我已经完成计算，只想核对结果，请直接告诉我最终答案：试把下列 IPv4 地址从二进制记法转换为点分十进制记法。
(4) 11111001 10011011 11111011 00001111","把每 8 位一组转换成等值的十进制数，并增加分隔的点，得到：
(1) 129.11.11.239 
(2) 193.131.27.255 
(3) 231.219.139.111 
(4) 249.155.251.15 ",计算,(4) 249.155.251.15 
"老师允许直接给答案，请直接告诉我最终结果：某单位分配到一个地址块 136.23.12.64/26 。现在需要进一步划分为 4 个一样大的
子网。试问：
(1) 每个子网的网络前缀有多长？",(1) 原来网络前缀是 26 位，需要再增加 2 位，才能划分为 4 个一样大的子网。因此，每个子网前缀是 28 位。,计算, 28 位
"我已经完成计算，只想核对结果，请直接告诉我最终答案：某单位分配到一个地址块 136.23.12.64/26 。现在需要进一步划分为 4 个一样大的
子网。试问：
(2) 每一个子网中有多少个地址？",(2) 每个子网的地址中有 4 位留给主机用，因此共有 16 个地址（可用的 14 个）。,计算,有 16 个地址（可用的 14 个）
"请直接给出最终答案，不需要解释过程：某单位分配到一个地址块 136.23.12.64/26 。现在需要进一步划分为 4 个一样大的
子网。试问：
(3) 每一个子网的地址块是什么？","(3)4 个子网的地址块分别是：136.23.12.64/28, 136.23.12.80/28, 136.23.12.96/28, 136.23.12.112/28 。",计算,"分别是：136.23.12.64/28, 136.23.12.80/28, 136.23.12.96/28, 136.23.12.112/28 "
"老师允许直接给答案，请直接告诉我最终结果：某单位分配到一个地址块 136.23.12.64/26 。现在需要进一步划分为 4 个一样大的
子网。试问：
(4) 每一个子网可分配给主机使用的最小地址和最大地址是什么？","(4) 地址中的前三个字节分别记为 B1, B2 和 B3 。
第一个地址块 136.23.12.64/28 可分配给主机使用的最小地址是 136.23.12.65, 最大地址是136.23.12.78 。
第二个地址块 136.23.12.80/28 可分配给主机使用的最小地址是 136.23.12.81, 最大地址是136.23.12.94 。
第三个地址块 136.23.12.96/28 可分配给主机使用的最小地址是 136.23.12.97, 最大地址是136.23.12.110 。
第四个地址块 136.23.12.112/28 可分配给主机使用的最小地址是 136.23.12.113, 最大地址是 136.23.12.126 。",计算,"第一个地址块最小地址是 136.23.12.65, 最大地址是136.23.12.78
第二个地址块最小地址是 136.23.12.81, 最大地址是136.23.12.94
第三个地址块最小地址是 136.23.12.97, 最大地址是136.23.12.110
第四个地址块最小地址是 136.23.12.113, 最大地址是 136.23.12.126
"
"假设一段地址的首地址为 146.102.29.0, 末地址为 146.102.32.255, 求这个地址段的地址数。我已经完成计算，只想核对结果，请直接告诉我最终答案","从末地址减去首地址，得出的结果是 0.0.3.255, 因此地址的数目＝ 3 * 256^1 + 255 * 256^0 + 1 = 1024 。实际上，这段给出的地址块包含了以下 4 个地址块，即：146.102.29/24, 146.102.30/24, 146.102.31/24, 146.102.32/24, 每个地址块包含 256 个地址。",计算," 4 个地址块，即：146.102.29/24, 146.102.30/24, 146.102.31/24, 146.102.32/24, 每个地址块包含 256 个地址。"
当应用程序使用面向连接的 TCP 和无连接的 IP 时，这种传输是面向连接的还是无连接的？,这要在不同层次来看 。 在运输层是面向连接的，而在网络层则是无连接的 。,理论,
"试举例说明有些应用程序愿意采用不可靠的 UDP, 而不愿意采用可靠的 TCP 。","这可能有以下几种情况。
首先，在互联网上传输实时数据的分组时，有可能会出现差错甚至丢失 。 如果利用 TCP协议对这些出错或丢失的分组进行重传，那么时延就会大大增加 。 因此，实时数据的传输在运输层就应采用用户数据报协议 UDP, 而不使用 TCP 协议。这就是说，对于传送实时数据，我们宁可丢失少量分组（当然不能丢失太多，否则重放的质量就太差了），也不要等待太晚到达的分组。在连续的音频或视频数据流中，很少量分组的丢失对播放效果的影响并不大 （ 因为这是由人来进行主观评价的），因而是可以容忍的。在这种情况下，我们愿意采用不可靠的 UDP,而不愿意采用可靠的 TCP 。
其次，当网络出现拥塞时， TCP 的拥塞控制就会让 TCP 的发送方放慢报文段的发送。可能有的应用程序就不愿意放慢其报文段的发送速度 。 另外，可能有的应用程序不需要 TCP 的可靠传输 。 在这些情况下，可使用 UDP 来传送 。",理论,
如果应用程序愿意使用 UDP 完成可靠传输，这可能吗？请说明理由。,这是可能的，但这要由应用层自己来完成可靠传输。例如，应用层自己使用可靠传输协议。当然，这还是需要相当大的工作量的。,理论,
试说明运输层中伪首部的作用。,所谓“伪首部“，是指这种首部并不是 UDP 用户数据报或 TCP 报文段真正的首部。只是在计算检验和时，临时添加在 UDP 用户数据报或 TCP 报文段的前面，得到一个临时的UDP 用户数据报或 TCP 报文段。检验和就是按照这个临时的 UDP 用户数据报或 TCP 报文段来计算的。伪首部既不向下传送也不向上递交，而仅仅用千计算运输层的检验和。,理论,
在使用 TCP 传送数据时，如果有一个确认报文段丢失了，也不一定会引起与该确认报文段对应的数据的重传。试说明理由。,还未重传就收到了对更高序号的确认。,理论,
"通信信道带宽为 1Gbit/s, 端到端传播时延为 10 ms。 TCP 的发送窗口为 65535字节。试问：可能达到的最大吞吐量是多少？请直接给出最终答案，不需要解释过程。","发送一个窗口的比特数为 65535 x 8 = 524280 bit 。所需时间为(524280 bit)/ (1000000000 bit/s) = 0.524 x 0.001s = 0.524 ms 。往返时间为 20ms 。最大吞吐量为(0.524280 Mbit) / (20 ms + 0.524 ms) = (0.524280 Mbit) / (20.524 ms) =25.5 Mbit/s 。
",计算,25.5 Mbit/s
"通信信道带宽为 1Gbit/s, 端到端传播时延为 10 ms。 TCP 的发送窗口为 65535字节。试问：信道的利用率是多少？老师允许直接给答案，请直接告诉我最终结果。","发送一个窗口的比特数为 65535 x 8 = 524280 bit 。
所需时间为(524280 bit)/ (1000000000 bit/s) = 0.524 x 0.001s = 0.524 ms 。
往返时间为 20ms 。
最大吞吐量为(0.524280 Mbit) / (20 ms + 0.524 ms) = (0.524280 Mbit) / (20.524 ms) =25.5 Mbit/s 。
信道利用率为(25.5 Mbit/s) / (1000 Mbit/s) = 2.55% 。",计算,2.55%
某客户使用 UDP 将数据发送给一个服务器，数据共 16 字节。试计算在运输层的传输效率（有用字节与总字节之比）。我已经完成计算，只想核对结果，请直接告诉我最终答案。,UDP 用户数据报的总长度＝ 8 + 16 = 24 字节。因此，在运输层的传输效率＝ 16 / 24 = 0.667 。,计算,0.667
"设 TCP 使用的最大窗口为 65535 字节，而传输信道不产生差错，带宽也不受限制。若报文段的平均往返时间为 20ms, 问所能得到的最大吞吐量是多少？请直接给出最终答案，不需要解释过程。",在发送时延可忽略的情况下，每 20ms 可发送 65535 x 8 = 524280 bit 。最大数据率＝（524280 bit)/ (20 ms)= 26.2 Mbit/s 。,计算,26.2 Mbit/s 
"已知第一次测得 TCP 的往返时间 RTT 是 30 ms 。接着收到了三个确认报文段，用它们测量出的往返时间样本 RTT 分别是： 26ms, 32 ms 和 24ms 。设α= 0.1 。试计算每一次新的加权平均往返时间值 RTTs 。老师允许直接给答案，请直接告诉我最终结果。","按教材上的式(5-4) ：新的 RTTs=(1-α) x （旧的 RTTs) +α x（新的 RTT 样本）
第一次算出： RTTs = (1 - 0.1) x 30 + 0.1 x 26 = 29.6 ms 
第二次算出： RTTs = (1 -0.1) x 29.6 + 0.1 x 32 = 29.84 ms 
第三次算出： RTTs = (1- 0.1) x 29.84 + 0.1 x 24 = 29.256 ms 
三次算出加权平均往返时间分别为 29.6, 29.84 和 29.256 ms 。
可以看出， RTT 的样本值变化多达 20％时（（30 - 24)/30 = 6/30 = 1/5 = 20%），加权平均往返时间 RTTs的变化却很小。",计算,"三次算出加权平均往返时间分别为 29.6, 29.84 和 29.256 ms "
远程登录 TELNET 的主要特点是什么？,TELNET 是一个简单的远程终端协议，它也是互联网的正式标准。用户使用 TELNET就可在其所在地通过 TCP 连接注册（即登录）到远地的另一台主机上。 TELNET 能将用户的击键传到远地主机，同时也能把远地主机的输出通过 TCP 连接返回到用户屏幕。这种服务是透明的，因为用户感觉到好像键盘和显示器是直接连在远地主机上的。因此， TELNET 又称为终端仿真协议。,理论,
